,recno,Name,F3.6,e_F3.6,F4.5,e_F4.5,F5.8,e_F5.8,F8.0,e_F8.0,Per,SpT,r_SpT,Mi,SimbadName,RAJ2000,DEJ2000,single,G,AG,Gmag,Mass_calc,Mass_e
269,272,Par 1929,7.98,0.001,7.65,0.002,7.33,0.002,6.53,0.005,5.53,,,,Parenago 1929,05 35 17.9,-05 42 34.0,1,13.582442,,,0.0,0.0
270,273,JW 579,10.7,0.003,10.15,0.003,10.03,0.009,9.24,0.028,2.81,M3,H97,L,JW 579,05 35 18.0,-05 35 15.7,1,16.928288,,,0.0,0.0
271,274,JW 566,7.53,0.003,6.81,0.002,6.25,0.004,5.49,0.011,7.04,,,,JW 566,05 35 18.0,-05 16 13.6,1,18.614342,,,0.0,0.0
272,275,Par 1942,10.61,0.003,10.77,0.004,10.67,0.014,10.61,0.053,1.07,M1,H97,H,Parenago 1942,05 35 19.0,-05 37 36.8,1,14.238172,,,0.0,0.0
273,276,HBJM 10548,12.83,0.017,12.5,0.016,12.27,0.059,11.62,0.163,3.31,,,,[H97b] 10548,05 35 19.0,-05 37 23.4,1,19.19775,,,0.0,0.0
274,277,CHS 9269,11.81,0.006,11.85,0.008,11.84,0.022,11.79,0.058,3.97,,,,[CHS2001] 9269,05 35 19.3,-06 24 14.5,1,15.41626,0.4827,6.848557294395505,0.5499200522069077,0.0896731857449002
275,278,R01- 1933,11.3,0.005,11.27,0.008,11.4,0.019,11.55,0.074,5.82,,,,[R2001]  1933,05 35 19.5,-05 36 51.8,1,15.37224,,,0.0,0.0
276,279,R01- 1937,11.71,0.006,11.41,0.007,11.12,0.014,10.61,0.029,2.28,,,,[R2001]  1937,05 35 19.7,-04 48 18.0,1,17.51771,,,0.0,0.0
277,280,Par 1941,11.02,0.005,11.06,0.006,10.99,0.032,10.83,0.142,5.16,,,,Parenago 1941,05 35 19.9,-05 33 53.5,1,15.043906,,,0.0,0.0
278,281,Par 1938,7.69,0.009,7.17,0.006,6.73,0.033,6.23,0.099,0.96,K7,H97,H,Parenago 1938,05 35 20.0,-05 21 05.9,1,14.069387,,,0.0,0.0
279,282,JW 646,12.12,0.007,11.8,0.008,11.55,0.02,10.87,0.05,1.94,M3,H97,L,JW 646,05 35 20.2,-05 34 57.2,1,17.254677,,,0.0,0.0
280,283,JW 635,8.93,0.005,8.54,0.005,8.04,0.02,7.3,0.049,4.12,M4.5,H97,L,JW 635,05 35 20.2,-05 13 59.4,1,17.531664,,,0.0,0.0
281,284,JW 649,11.4,0.006,11.13,0.006,10.63,0.029,9.87,0.066,2.13,M6,H97,L,JW 649,05 35 20.3,-05 32 16.8,1,17.336416,,,0.0,0.0
282,285,JW 654,11.49,0.005,11.23,0.006,11.27,0.016,11.04,0.038,2.42,M5,H97,L,JW 654,05 35 20.3,-05 36 39.4,1,17.13044,,,0.0,0.0
283,286,R01- 1945,10.99,0.003,10.98,0.004,11.02,0.016,10.68,0.062,4.8,,,,[R2001]  1945,05 35 20.4,-05 02 26.6,1,15.440367,,,0.0,0.0
284,287,Par 1960,8.11,0.011,7.67,0.013,7.05,0.027,5.97,0.04,34.5,M0,H97,H,Parenago 1960,05 35 20.5,-05 23 29.8,1,14.633403,,,0.0,0.0
285,288,JW 655,7.63,0.003,7.47,0.003,7.31,0.012,7.24,0.051,1.73,,,,JW 655,05 35 20.7,-05 15 49.3,1,13.91386,,,0.0,0.0
286,289,R01- 1950,10.36,0.003,10.29,0.004,10.31,0.023,10.3,0.122,5.02,K8,R01,H,[R2001]  1950,05 35 20.8,-04 58 34.2,1,16.396305,,,0.0,0.0
287,290,Par 1979,10.11,0.002,9.84,0.003,9.45,0.007,8.46,0.018,7.33,,,,Parenago 1979,05 35 21.3,-05 42 12.3,1,15.554418,,,0.0,0.0
288,291,R01- 1959,11.98,0.007,11.93,0.009,11.88,0.019,11.93,0.028,3.38,,,,[R2001]  1959,05 35 21.3,-05 56 35.9,1,15.987312,0.5361,7.366210294395504,0.45336307721210256,0.0896731857449002
289,292,JW 676,10.8,0.006,10.28,0.004,9.32,0.012,8.37,0.026,6.63,K5,H97,H,JW 676,05 35 21.6,-05 09 38.9,1,18.02638,,,0.0,0.0
290,293,JW 677,10.74,0.006,10.22,0.004,9.95,0.023,9.2,0.064,3.96,M3,H97,L,JW 677,05 35 21.6,-05 09 49.7,1,16.030445,,,0.0,0.0
291,294,JW 691,10.5,0.021,10.34,0.013,9.73,0.147,8.22,0.187,6.29,M4,H97,L,JW 691,05 35 21.9,-05 15 01.1,1,17.394522,,,0.0,0.0
292,295,JW 715,11.56,0.01,11.05,0.008,10.93,0.062,10.25,0.199,4.46,M6,H97,L,JW 715,05 35 22.3,-05 31 16.9,1,16.984146,,,0.0,0.0
293,296,JW 719,11.33,0.004,11.32,0.005,11.45,0.019,11.29,0.058,6.85,M4-M,H97,L,JW 719,05 35 22.3,-05 35 26.7,1,15.874228,,,0.0,0.0
294,297,Par 1948,9.42,0.003,9.41,0.002,9.07,0.009,8.15,0.031,10.9,,,,Parenago 1948,05 35 22.3,-04 42 07.6,1,14.166903,2.3542,3.727700294395504,0.0,0.0
295,298,JW 716,9.81,0.009,9.32,0.009,8.84,0.055,7.76,0.108,3.95,M4.5,H97,L,JW 716,05 35 22.4,-05 27 28.4,1,16.229954,,,0.0,0.0
296,299,CHS 9739,9.92,0.002,9.85,0.003,9.39,0.005,8.9,0.023,6.08,,,,[CHS2001] 9739,05 35 22.8,-04 48 29.8,1,14.670089,,,0.0,0.0
297,300,JW 727,10.23,0.004,9.99,0.003,9.59,0.02,8.94,0.059,6.03,M2,H97,H,JW 727,05 35 22.8,-05 31 37.2,1,15.444867,,,0.0,0.0
298,301,R01- 1980,10.45,0.003,10.49,0.003,10.5,0.011,10.43,0.044,0.57,,,,[R2001]  1980,05 35 22.8,-05 44 42.9,1,14.979212,,,0.0,0.0
299,302,Par 1995,10.38,0.003,10.29,0.004,10.14,0.024,9.27,0.061,13.87,M1,H97,H,Parenago 1995,05 35 22.9,-05 32 29.0,1,14.838462,,,0.0,0.0
300,303,Par 1966,10.65,0.003,10.85,0.005,10.66,0.01,10.53,0.037,1.07,M1,R01,H,Parenago 1966,05 35 23.2,-04 43 02.9,1,14.223755,,,0.0,0.0
301,304,CHS 9801,10.7,0.003,10.77,0.004,10.6,0.009,10.53,0.03,6.08,,,,[CHS2001] 9801,05 35 23.3,-04 49 04.6,1,14.341047,,,0.0,0.0
302,305,JW 735,10.39,0.016,9.76,0.011,8.96,0.067,7.45,0.101,5.21,M3,H97,L,JW 735,05 35 23.3,-05 28 10.1,1,16.272245,,,0.0,0.0
303,306,Par 1988,10.05,0.014,10.12,0.015,9.91,0.06,8.84,0.11,7.64,K8,H97,H,Parenago 1988,05 35 23.4,-05 10 51.8,1,13.42294,,,0.0,0.0
304,307,JW 753,10.21,0.006,9.76,0.004,9.5,0.045,8.7,0.111,8.55,M2,H97,H,JW 753,05 35 24.2,-05 29 57.2,1,14.95328,,,0.0,0.0
305,308,CHS 10032,11.16,0.004,11.29,0.006,11.17,0.014,11.04,0.029,15.05,,,,[CHS2001] 10032,05 35 25.2,-05 55 55.2,1,14.843253,2.7385,4.0197517943955035,0.0,0.0
306,309,H97: 3128,11.38,0.006,11.15,0.007,10.79,0.039,9.72,0.075,2.47,,,,[H97b] 3128,05 35 25.2,-05 29 51.6,1,16.359598,1.1311,7.143496294395504,0.494905558621688,0.0896731857449002
307,310,JW 778,11.61,0.006,11.5,0.007,11.52,0.028,12.24,0.188,1.71,M4,H97,L,JW 778,05 35 25.2,-05 33 21.1,1,16.605722,,,0.0,0.0
308,311,JW 783,10.48,0.003,10.12,0.003,9.56,0.006,8.54,0.016,1.15,,,,JW 783,05 35 25.5,-05 34 04.8,1,17.489109,,,0.0,0.0
309,312,CHS 10073,9.93,0.002,9.56,0.002,9.22,0.004,8.39,0.004,7.5,,,,[CHS2001] 10073,05 35 25.5,-05 45 44.9,1,16.003046,,,0.0,0.0
310,313,CHS 10081,10.98,0.003,10.7,0.004,10.31,0.007,9.58,0.009,4.28,,,,[CHS2001] 10081,05 35 25.6,-06 13 04.4,1,18.764748,,,0.0,0.0
311,314,JW 788,10.28,0.005,9.89,0.005,9.5,0.03,8.95,0.078,4.76,M4,H97,L,JW 788,05 35 25.7,-05 30 38.1,1,15.932467,,,0.0,0.0
312,315,R01- 2012,11.13,0.004,10.71,0.004,10.42,0.011,9.53,0.025,7.33,,,,[R2001]  2012,05 35 25.7,-04 49 31.3,1,16.257914,,,0.0,0.0
313,316,JW 789,12.07,0.011,11.87,0.013,11.58,0.07,10.87,0.155,3.21,M3,H97,L,JW 789,05 35 25.7,-05 29 35.4,1,17.619373,0.7704,8.763972294395503,0.19264079706668574,0.0896731857449002
314,317,CHS 10147,10.55,0.003,10.23,0.003,9.72,0.005,8.96,0.008,5.9,,,,[CHS2001] 10147,05 35 26.2,-05 45 08.5,1,15.242089,0.5,6.657087294395504,0.5856346409430062,0.0896731857449002
315,318,Par 2032,7.95,0.003,7.71,0.002,7.21,0.021,6.65,0.06,10.33,G5,H97,H,Parenago 2032,05 35 26.3,-05 25 39.7,1,11.397721,0.972,2.3407192943955035,0.0,0.0
316,319,Par 2019,10.66,0.004,10.58,0.004,10.5,0.044,10.01,0.146,0.93,,,,Parenago 2019,05 35 26.6,-04 56 06.7,2,14.583791,,,0.0,0.0
317,320,CHS 10241,11.0,0.003,11.23,0.006,11.24,0.013,11.07,0.023,9.04,,,,[CHS2001] 10241,05 35 26.8,-06 26 47.5,1,14.228755,,,0.0,0.0
318,321,JW 812,10.63,0.003,10.2,0.004,9.88,0.013,8.79,0.03,4.39,,,,JW 812,05 35 27.2,-05 30 24.7,1,15.63721,,,0.0,0.0
319,322,CHS 10277,11.56,0.007,11.17,0.006,10.73,0.042,10.35,0.16,2.64,,,,[CHS2001] 10277,05 35 27.2,-04 55 18.6,1,18.526712,,,0.0,0.0
320,323,Par 2048,9.78,0.002,9.81,0.002,9.82,0.017,9.79,0.089,4.62,K8V,H97,H,Parenago 2048,05 35 27.5,-05 35 19.5,1,13.105382,,,0.0,0.0
321,324,Par 2046,8.02,0.004,7.54,0.003,7.1,0.018,6.45,0.065,9.57,K6-K8,H97,H,Parenago 2046,05 35 28.1,-05 24 58.3,1,14.44558,,,0.0,0.0
322,325,R01- 2045,11.25,0.005,11.3,0.006,11.16,0.052,10.71,0.174,0.84,,,,[R2001]  2045,05 35 28.2,-05 00 49.6,2,15.56835,,,0.0,0.0
323,326,R01- 2048,10.71,0.003,10.3,0.003,9.81,0.008,8.87,0.023,7.38,,,,[R2001]  2048,05 35 28.3,-05 59 13.3,1,15.373467,,,0.0,0.0
324,327,R01- 2056,10.57,0.003,10.23,0.003,9.93,0.012,9.05,0.03,5.21,,,,[R2001]  2056,05 35 28.6,-04 47 26.5,1,15.892684,,,0.0,0.0
325,328,JW 834,8.6,0.006,8.21,0.009,7.72,0.022,6.78,0.059,7.01,,,,JW 834,05 35 28.9,-05 16 18.5,1,14.339305,,,0.0,0.0
326,329,Par 2070,10.3,0.003,10.33,0.003,10.4,0.012,10.44,0.047,5.7,,,,Parenago 2070,05 35 29.0,-05 49 48.6,1,13.369993,,,0.0,0.0
327,330,JW 836,9.3,0.009,8.99,0.008,8.34,0.044,7.26,0.081,12.2,M0,H97,H,JW 836,05 35 29.0,-05 29 10.5,1,14.771595,2.4269,4.259693294395504,0.0,0.0
328,331,JW 843,11.18,0.004,11.15,0.006,11.16,0.016,10.7,0.054,0.84,M2,H97,H,JW 843,05 35 29.7,-05 31 12.4,1,15.137321,,,0.0,0.0
329,332,R01- 2073,11.53,0.004,11.45,0.007,11.35,0.014,11.48,0.02,6.19,,,,[R2001]  2073,05 35 30.2,-06 12 06.0,2,15.080009,0.445,6.550008294395504,0.6056079132459422,0.0896731857449002
330,333,Par 2079,11.13,0.003,11.03,0.005,11.11,0.015,11.01,0.044,10.08,K8,R01,H,Parenago 2079,05 35 30.2,-05 51 17.0,1,14.390926,2.2487,4.057224294395505,0.0,0.0
331,334,Par 2064,10.84,0.003,10.91,0.005,10.91,0.013,10.83,0.042,3.2,K7,R01,H,Parenago 2064,05 35 30.5,-04 51 29.0,1,14.292407,1.4658,4.741605294395503,0.9429263934930623,0.0896731857449002
332,335,JW 863,10.25,0.003,9.94,0.003,9.5,0.013,8.87,0.038,7.91,M3.5,H97,L,JW 863,05 35 30.8,-05 30 36.2,1,15.417651,,,0.0,0.0
333,336,Par 2066,10.11,0.004,9.78,0.004,9.41,0.027,8.38,0.05,7.61,M0,R01,H,Parenago 2066,05 35 30.9,-04 55 17.9,1,14.135627,1.6856,4.365024794395504,0.0,0.0
334,337,R01- 2088,11.6,0.007,11.53,0.008,11.54,0.017,11.48,0.038,3.71,,,,[R2001]  2088,05 35 31.3,-05 58 33.4,2,15.187855,0.3938,6.709053294395504,0.575941507197838,0.0896731857449002
335,338,R01- 2092,12.15,0.007,12.0,0.011,12.02,0.022,11.91,0.025,7.4,M3.5,R01,L,[R2001]  2092,05 35 31.5,-06 14 18.9,2,15.930679,0.5424,7.303277294395505,0.4651018676894914,0.0896731857449002
336,339,R01- 2093,6.54,0.001,5.7,0.002,5.07,0.001,4.02,0.001,12.91,,,,[R2001]  2093,05 35 31.5,-05 05 47.4,1,18.124653,,,0.0,0.0
337,340,R01- 2094,9.89,0.003,9.83,0.003,9.72,0.023,9.27,0.078,3.91,,,,[R2001]  2094,05 35 31.5,-05 40 27.8,1,16.867313,,,0.0,0.0
338,342,JW 878,11.01,0.006,11.09,0.006,10.71,0.052,9.76,0.126,5.51,M6,H97,L,JW 878,05 35 31.7,-05 30 04.1,1,16.171972,5.7793,2.3076702943955034,0.0,0.0
339,343,R01- 2096,11.83,0.006,11.57,0.006,11.7,0.03,11.15,0.051,10.67,M3.5,R01,L,[R2001]  2096,05 35 31.7,-04 41 07.7,1,16.647465,,,0.0,0.0
340,344,H97: 5156,12.54,0.01,12.27,0.012,11.87,0.038,10.75,0.053,4.36,,,,[H97b] 5156,05 35 31.9,-05 31 47.8,1,18.612011,,,0.0,0.0
341,345,JW 879,10.34,0.013,9.87,0.02,9.6,0.044,8.53,0.054,1.12,,,,JW 879,05 35 32.0,-05 16 21.0,1,16.766537,,,0.0,0.0
342,346,CHS 10870,11.62,0.008,10.84,0.006,10.09,0.01,9.3,0.03,5.55,,,,[CHS2001] 10870,05 35 32.3,-04 46 48.4,1,19.041317,,,0.0,0.0
343,347,JW 885,10.54,0.009,10.05,0.007,9.66,0.069,8.34,0.108,9.14,,,,JW 885,05 35 32.4,-05 15 06.9,1,18.730871,,,0.0,0.0
344,348,Par 2097,10.37,0.009,10.53,0.009,10.03,0.09,9.06,0.195,1.1,M1.5,H97,H,Parenago 2097,05 35 32.5,-05 26 10.4,1,14.280237,,,0.0,0.0
345,349,Par 2081,9.98,0.002,9.83,0.002,9.66,0.009,8.51,0.024,5.05,K4,R01,H,Parenago 2081,05 35 33.0,-04 43 58.9,1,13.538937,,,0.0,0.0
346,350,R01- 2115,11.9,0.006,11.72,0.008,11.58,0.033,10.94,0.085,2.81,,,,[R2001]  2115,05 35 33.2,-05 47 07.5,2,15.879528,0.5722,7.222326294395504,0.4802015265023301,0.0896731857449002
347,351,CHS 11123,10.12,0.002,10.03,0.003,9.36,0.004,8.75,0.004,6.24,,,,[CHS2001] 11123,05 35 34.7,-06 02 47.2,1,18.689198,5.7423,4.861895794395505,0.9204888015003283,0.0896731857449002
348,352,JW 906,10.86,0.004,10.69,0.005,0.0,0.0,9.86,0.078,10.66,M3,H97,L,JW 906,05 35 34.7,-05 34 38.1,1,15.627526,,,0.0,0.0
349,353,CHS 11149,13.33,0.011,13.12,0.012,12.62,0.022,11.48,0.022,7.38,,,,[CHS2001] 11149,05 35 34.9,-06 08 36.5,1,19.443111,,,0.0,0.0
350,354,JW 913,13.9,0.022,13.61,0.017,12.63,0.085,10.67,0.074,9.56,K1-K5,H97,H,JW 913,05 35 35.1,-05 33 49.2,1,17.980473,,,0.0,0.0
351,355,H97: 5083,10.12,0.007,9.88,0.004,9.38,0.034,8.39,0.056,7.59,,,,[H97b] 5083,05 35 36.2,-05 20 20.4,1,18.888023,,,0.0,0.0
352,356,Par 2115,8.73,0.002,8.31,0.002,8.09,0.003,7.47,0.008,8.3,,,,Parenago 2115,05 35 36.4,-05 01 15.6,1,13.036394,1.5008,3.450592294395504,0.0,0.0
353,357,Par 2123,9.39,0.002,9.03,0.002,8.75,0.008,8.14,0.028,1.15,M1,H97,H,Parenago 2123,05 35 36.4,-05 34 11.1,1,14.323411,2.6672,3.571209294395505,0.0,0.0
354,358,Par 2117,11.04,0.004,11.11,0.006,10.93,0.02,10.47,0.063,6.94,,,,Parenago 2117,05 35 36.6,-05 04 39.3,1,15.250219,0.5213,6.643917294395504,0.588091219695871,0.0896731857449002
355,359,Par 2134,10.34,0.003,10.36,0.004,10.4,0.013,10.11,0.043,5.59,K7,H97,H,Parenago 2134,05 35 36.7,-05 37 41.5,1,14.075429,,,0.0,0.0
356,360,R01- 2168,11.51,0.005,11.53,0.007,11.41,0.015,11.35,0.029,3.47,,,,[R2001]  2168,05 35 36.7,-05 58 56.3,1,16.17132,,,0.0,0.0
357,361,R01- 2171,10.84,0.003,11.08,0.004,11.14,0.013,10.94,0.027,5.75,,,,[R2001]  2171,05 35 36.8,-06 16 31.0,1,14.144091,,,0.0,0.0
358,362,JW 925,11.23,0.005,11.01,0.005,10.81,0.032,10.43,0.155,4.71,,,,JW 925,05 35 37.2,-05 10 29.5,1,15.31776,,,0.0,0.0
359,363,R01- 2176,11.97,0.007,11.97,0.009,11.88,0.022,11.98,0.088,2.76,M3.5,R01,L,[R2001]  2176,05 35 37.3,-06 00 00.2,1,16.050163,0.6315,7.333661294395505,0.4594343894216057,0.0896731857449002
360,364,R01- 2178,11.55,0.005,11.24,0.005,10.92,0.016,9.93,0.031,9.04,,,,[R2001]  2178,05 35 37.5,-05 51 28.1,1,17.337301,,,0.0,0.0
361,365,Par 2121,11.81,0.006,11.75,0.008,11.68,0.018,11.54,0.059,15.45,M2.5,R01,L,Parenago 2121,05 35 38.0,-04 48 33.4,2,15.44698,0.5811,6.780879294395504,0.5625439198447906,0.0896731857449002
362,366,R01- 2188,9.74,0.002,9.46,0.002,9.19,0.009,8.4,0.026,6.09,,,,[R2001]  2188,05 35 38.5,-04 59 41.2,1,15.904613,4.1888,3.630811294395505,0.0,0.0
363,367,Par 2144,8.0,0.003,7.64,0.002,7.06,0.01,6.29,0.029,5.15,K2,H97,H,Parenago 2144,05 35 38.9,-05 12 42.0,1,14.361652,4.4971,1.7795507943955045,0.0,0.0
364,368,Par 2143,9.9,0.002,10.05,0.003,10.09,0.025,10.3,0.166,1.17,M2,H97,H,Parenago 2143,05 35 39.1,-05 08 56.4,1,12.99259,,,0.0,0.0
365,369,Par 2136,10.4,0.003,10.5,0.004,10.39,0.009,10.44,0.043,1.69,,,,Parenago 2136,05 35 39.8,-04 44 04.9,1,14.933766,,,0.0,0.0
366,370,SMMV 3465,10.07,0.002,9.68,0.002,9.3,0.007,8.43,0.027,5.79,,,,SMMV 3465,05 35 40.0,-05 06 36.8,1,17.715097,,,0.0,0.0
367,371,Par 2137,10.06,0.002,9.75,0.002,9.48,0.004,8.67,0.003,11.02,K8,R01,H,Parenago 2137,05 35 40.0,-04 45 55.4,1,14.059869,1.9431,4.031767294395504,0.0,0.0
368,372,CHS 11666,11.05,0.021,10.68,0.009,9.97,0.077,8.85,0.142,12.06,,,,[CHS2001] 11666,05 35 40.8,-05 12 47.9,1,18.251984,,,0.0,0.0
369,373,Par 2145,10.19,0.002,10.23,0.003,10.21,0.007,9.94,0.027,5.5,,,,Parenago 2145,05 35 40.8,-04 48 30.5,1,12.514225,0.3054,4.123823294395503,0.0,0.0
370,374,HBJM 10743,12.16,0.011,11.83,0.011,11.61,0.067,10.55,0.161,2.57,,,,[H97b] 10743,05 35 40.8,-05 11 11.9,1,17.458515,,,0.0,0.0
371,375,Par 2155,11.53,0.006,11.5,0.008,11.14,0.053,10.03,0.132,5.47,,,,Parenago 2155,05 35 41.0,-05 06 25.3,1,15.610919,,,0.0,0.0
372,376,JW 956,11.62,0.008,11.34,0.008,11.04,0.04,10.25,0.092,2.82,,,,JW 956,05 35 41.3,-05 38 34.2,1,16.53105,,,0.0,0.0
373,377,R01- 2222,12.42,0.008,12.33,0.01,12.3,0.039,12.02,0.151,3.17,,,,[R2001]  2222,05 35 41.7,-05 49 26.2,1,16.472847,0.623,7.764845294395505,0.37900633683417456,0.0896731857449002
374,378,CHS 11859,10.14,0.003,10.25,0.004,10.2,0.026,10.33,0.111,3.34,K6-K,H97,H,[CHS2001] 11859,05 35 42.8,-05 11 54.8,1,13.424715,1.4016,3.938113294395505,0.0,0.0
375,379,Par 2185,9.57,0.002,9.69,0.002,9.56,0.008,9.66,0.043,1.94,K6-K,H97,H,Parenago 2185,05 35 43.2,-05 36 27.4,1,12.503455,,,0.0,0.0
376,380,Par 2173,9.71,0.003,9.77,0.003,9.73,0.031,9.54,0.108,1.43,K5V,H97,H,Parenago 2173,05 35 43.2,-05 09 17.1,1,13.379795,,,0.0,0.0
377,381,Par 2172,9.71,0.003,9.77,0.003,9.73,0.031,9.54,0.108,1.02,K5V,H97,H,Parenago 2172,05 35 43.2,-05 09 17.1,1,13.379795,,,0.0,0.0
378,382,Par 2184,10.23,0.003,9.88,0.003,9.58,0.011,9.04,0.034,8.07,M1,H97,H,Parenago 2184,05 35 43.4,-05 32 44.1,1,14.584414,,,0.0,0.0
379,383,R01- 2252,12.16,0.008,12.1,0.012,12.1,0.024,12.23,0.077,8.38,M3,R01,L,[R2001]  2252,05 35 44.0,-05 56 53.3,1,16.046516,0.4956,7.465915294395504,0.43476526517978925,0.0896731857449002
380,384,JW 974,10.97,0.004,10.92,0.005,10.54,0.012,9.92,0.034,4.07,M6,H97,L,JW 974,05 35 44.2,-05 36 39.8,1,16.290499,,,0.0,0.0
381,385,HBJM 10772,11.1,0.004,11.06,0.006,11.1,0.018,10.9,0.058,2.76,,,,[H97b] 10772,05 35 44.5,-05 07 31.7,2,14.947291,,,0.0,0.0
382,386,Par 2169,11.29,0.005,11.22,0.006,11.4,0.035,10.59,0.075,6.58,M1,R01,H,Parenago 2169,05 35 44.5,-04 44 15.9,1,14.809444,0.5037,6.220742294395505,0.6670253664969812,0.0896731857449002
383,387,Par 2180,11.15,0.004,11.11,0.006,11.08,0.011,10.95,0.024,7.61,M2.5,R01,L,Parenago 2180,05 35 44.6,-04 50 09.8,1,14.996164,0.6664,6.244762294395505,0.6625449548314519,0.0896731857449002
384,388,CHS 12130,8.69,0.002,8.25,0.002,7.76,0.002,7.3,0.002,3.25,,,,[CHS2001] 12130,05 35 45.9,-06 25 59.2,1,17.008118,4.6989,4.2242152943955045,0.0,0.0
385,389,Par 2210,10.75,0.004,10.92,0.005,10.83,0.034,10.65,0.168,1.1,,,,Parenago 2210,05 35 46.4,-05 41 00.8,1,15.081088,,,0.0,0.0
386,390,R01- 2295,12.46,0.008,12.52,0.013,12.49,0.027,12.22,0.063,4.15,M6,R01,L,[R2001]  2295,05 35 47.1,-06 11 45.3,1,17.94544,,,0.0,0.0
387,391,R01- 2297,12.24,0.007,12.05,0.01,12.06,0.026,11.96,0.078,4.36,,,,[R2001]  2297,05 35 47.4,-05 55 11.3,1,16.016884,0.5696,7.362282294395504,0.45409576068496377,0.0896731857449002
388,392,Par 2207,10.67,0.005,10.65,0.006,10.65,0.048,9.92,0.126,8.18,M1.5,H97,H,Parenago 2207,05 35 47.4,-05 13 18.6,1,14.224385,2.8821,3.2572832943955046,0.0,0.0
389,393,JW 1000,10.12,0.005,9.6,0.004,9.27,0.037,8.19,0.065,7.48,M2,H97,H,JW 1000,05 35 47.6,-05 19 14.5,1,16.839443,4.02,4.734441294395504,0.944262682789587,0.0896731857449002
390,394,JW 1002,10.29,0.002,10.01,0.003,9.89,0.006,9.26,0.019,3.94,M6,H97,L,JW 1002,05 35 47.6,-05 37 38.8,1,16.55643,,,0.0,0.0
391,395,R01- 2304,9.8,0.002,9.59,0.002,9.13,0.003,8.54,0.004,4.79,,,,[R2001]  2304,05 35 48.1,-05 53 57.4,1,15.897102,,,0.0,0.0
392,396,R01- 2308,11.61,0.005,11.71,0.007,11.78,0.02,11.91,0.057,9.29,,,,[R2001]  2308,05 35 48.3,-06 17 59.4,2,15.536064,0.5316,6.919462294395505,0.5366942574905533,0.0896731857449002
393,397,R01- 2318,11.09,0.004,11.15,0.005,11.11,0.021,10.92,0.076,0.93,,,,[R2001]  2318,05 35 48.9,-05 00 28.6,1,16.04725,4.384,3.578249294395505,0.0,0.0
394,398,Par 2215,11.19,0.005,10.75,0.005,10.55,0.014,9.97,0.036,2.66,M1,R01,H,Parenago 2215,05 35 49.0,-05 01 39.4,2,15.354857,0.6247,6.645156294395504,0.5878601110343793,0.0896731857449002
395,399,Par 2235,10.71,0.007,10.65,0.005,10.35,0.064,9.14,0.115,8.63,M0-M0,H97,H,Parenago 2235,05 35 49.5,-05 35 26.3,2,13.926422,1.6349,4.206520294395505,0.0,0.0
396,400,R01- 2337,11.36,0.005,11.59,0.008,11.39,0.033,10.89,0.08,1.55,,,,[R2001]  2337,05 35 50.4,-04 42 08.2,1,16.422377,,,0.0,0.0
397,401,R01- 2342,11.96,0.007,11.52,0.007,11.32,0.022,10.61,0.054,7.42,,,,[R2001]  2342,05 35 50.9,-04 43 23.1,1,17.482258,1.544,7.8532562943955035,0.3625151763130499,0.0896731857449002
398,402,Par 2243,9.58,0.002,9.25,0.002,8.92,0.004,7.94,0.006,4.98,,,,Parenago 2243,05 35 51.1,-05 07 08.9,2,13.564971,,,0.0,0.0
399,403,R01- 2356,11.23,0.005,11.17,0.006,11.16,0.031,10.75,0.081,6.24,M2,R01,H,[R2001]  2356,05 35 52.2,-05 39 24.7,1,16.253263,,,0.0,0.0
400,404,Par 2258,9.62,0.003,9.43,0.002,9.09,0.006,8.19,0.024,7.75,K5-K6,H97,H,Parenago 2258,05 35 52.8,-05 12 59.0,1,14.273129,0.4464,5.741728294395504,0.7563750714512791,0.0896731857449002
401,405,R01- 2366,11.54,0.006,11.44,0.007,11.32,0.027,11.02,0.098,6.62,,,,[R2001]  2366,05 35 53.6,-05 02 34.5,1,16.769266,3.6844,4.999864294395504,0.8947537608447134,0.0896731857449002
402,406,Par 2255,10.01,0.002,9.71,0.002,9.25,0.004,8.67,0.006,5.66,,,,Parenago 2255,05 35 54.1,-04 47 19.4,1,15.153193,,,0.0,0.0
403,407,JW 1025,11.54,0.008,11.26,0.008,10.85,0.066,9.41,0.101,4.52,M5.5,H97,L,JW 1025,05 35 54.2,-05 17 10.4,1,17.470192,,,0.0,0.0
404,408,HBJM 1026,9.54,0.004,9.06,0.003,8.85,0.03,7.9,0.064,4.21,M0.5,H97,H,[H97b] 1026,05 35 54.3,-05 26 44.5,1,14.256231,2.1909,3.9803292943955046,0.0,0.0
405,409,Par 2257,9.94,0.002,10.05,0.003,9.98,0.006,9.9,0.02,1.32,G6,R01,H,Parenago 2257,05 35 54.5,-04 48 04.9,1,11.814171,0.2432,3.4859692943955043,0.0,0.0
406,410,JW 1031,11.46,0.005,11.54,0.007,11.37,0.03,10.69,0.068,8.86,,,,JW 1031,05 35 55.0,-05 13 15.8,1,15.147061,,,0.0,0.0
407,411,Par 2268,10.86,0.004,10.86,0.005,10.94,0.035,10.9,0.177,6.54,K6,R01,H,Parenago 2268,05 35 56.1,-04 56 55.1,1,13.963237,,,0.0,0.0
